frame,population,food_count,births,deaths,average_energy,average_speed,average_vision,average_energy_loss,living_lineages,hazard_enabled
60,20,18,0,0,111.637,1.973,123.707,0.14307,20,True
120,23,18,3,0,107.504,1.995,124.345,0.14262,20,True
180,26,18,6,0,99.324,2.0,123.4,0.1442,20,True
240,28,18,8,0,90.972,1.994,122.799,0.14312,20,True
300,29,18,9,0,90.253,1.995,123.358,0.14228,20,True
360,32,18,12,0,78.673,2.024,122.641,0.14188,20,True
420,33,18,13,0,75.254,2.025,123.567,0.14113,20,True
480,32,18,14,2,77.025,2.05,124.524,0.14205,20,True
540,34,18,16,2,75.651,2.052,124.839,0.14298,20,True
600,38,18,20,2,75.104,2.077,122.739,0.14326,20,True
660,38,18,21,3,81.892,2.085,123.127,0.14283,20,True
720,38,18,21,3,84.059,2.085,123.127,0.14283,20,True
780,38,18,22,4,86.12,2.075,121.988,0.14227,20,True
840,41,18,25,4,82.266,2.087,121.7,0.14314,20,True
900,41,18,26,5,88.814,2.086,121.792,0.14368,20,True
960,44,18,29,5,89.993,2.083,122.104,0.14304,20,True
1020,48,18,33,5,89.595,2.093,123.018,0.14282,20,True
1080,51,18,36,5,87.124,2.108,124.172,0.1429,20,True
1140,53,18,39,6,83.177,2.117,123.951,0.14272,20,True
1200,56,18,42,6,77.836,2.106,124.379,0.14275,20,True
1260,57,18,44,7,78.265,2.115,124.396,0.14368,20,True
1320,57,18,44,7,77.644,2.115,124.396,0.14368,20,True
1380,59,18,47,8,77.285,2.109,125.186,0.1434,19,True
1440,59,18,47,8,79.536,2.109,125.186,0.1434,19,True
1500,59,18,47,8,78.855,2.109,125.186,0.1434,19,True
1560,58,18,49,11,78.989,2.121,123.793,0.14281,19,True
1620,60,18,53,13,79.928,2.135,123.086,0.1424,19,True
1680,60,18,53,13,83.742,2.135,123.086,0.1424,19,True
1740,60,18,53,13,86.398,2.135,123.086,0.1424,19,True
1800,60,18,53,13,88.07,2.135,123.086,0.1424,19,True
1860,60,18,54,14,90.996,2.137,123.243,0.1418,18,True
1920,60,18,56,16,98.629,2.139,123.587,0.14169,18,True
1980,60,18,56,16,105.727,2.139,123.587,0.14169,18,True
